город	код_региона	регион	центр	население
Санкт-Петербург	78	Санкт-Петербург Город	-	5281579
Новосибирск	54	Новосибирская Область	региона	1473737
Екатеринбург	66	Свердловская Область	региона	1350136
Нижний Новгород	52	Нижегородская Область	региона	1250615
Самара	63	Самарская Область	региона	1164896
Омск	55	Омская Область	региона	1153971
Казань	16	Татарстан Республика	региона	1143546
Челябинск	74	Челябинская Область	региона	1130273
Ростов-на-Дону	61	Ростовская Область	региона	1089851
Уфа	2	Башкортостан Республика	региона	1062300
Волгоград	34	Волгоградская Область	региона	1021244
Пермь	59	Пермский Край	региона	991530
Красноярск	24	Красноярский Край	региона	973891
Воронеж	36	Воронежская Область	региона	889989
Саратов	64	Саратовская Область	региона	837831
Краснодар	23	Краснодарский Край	региона	744933
Тольятти	63	Самарская Область	-	719514
Ижевск	18	Удмуртская Республика	региона	628116
Ульяновск	73	Ульяновская Область	региона	613793
Барнаул	22	Алтайский Край	региона	612091
Владивосток	25	Приморский Край	региона	592069
Ярославль	76	Ярославская Область	региона	591486
Иркутск	38	Иркутская Область	региона	587225
Тюмень	72	Тюменская Область	-	581758
Махачкала	5	Дагестан Республика	региона	577990
Хабаровск	27	Хабаровский Край	региона	577668
Новокузнецк	42	Кемеровская Область	-	547885
Оренбург	56	Оренбургская Область	региона	546987
Кемерово	42	Кемеровская Область	региона	532884
Рязань	62	Рязанская Область	региона	525062
Томск	70	Томская Область	региона	522940
Астрахань	30	Астраханская Область	региона	520662
Пенза	58	Пензенская Область	-	517137
Набережные Челны	16	Татарстан Республика	-	513242
Липецк	48	Липецкая Область	региона	508124
Тула	71	Тульская Область	региона	501129
Киров	40	Калужская Область	района	473668
Киров	43	Кировская Область	региона	473668
Чебоксары	21	Чувашская Республика - Чувашия	региона	453645
Калининград	39	Калининградская Область	региона	431491
Брянск	32	Брянская Область	региона	415640
Курск	46	Курская Область	региона	414595
Иваново	37	Ивановская Область	региона	409277
Магнитогорск	74	Челябинская Область	-	408401
Улан-Удэ	3	Бурятия Республика	региона	404357
Тверь	69	Тверская Область	региона	403726
Ставрополь	26	Ставропольский Край	региона	398266
Нижний Тагил	66	Свердловская Область	-	361883
Белгород	31	Белгородская Область	региона	356426
Архангельск	29	Архангельская Область	региона	348716
Владимир	33	Владимирская Область	региона	348256
Симферополь	91	Крым Республика	-	343644
Сочи	23	Краснодарский Край	-	343285
Севастополь	92	Севастополь Город	-	342451
Курган	45	Курганская Область	региона	333640
Смоленск	67	Смоленская Область	региона	326863
Калуга	40	Калужская Область	региона	325185
Чита	75	Забайкальский Край	региона	323964
Волжский	34	Волгоградская Область	-	314436
Череповец	35	Вологодская Область	-	312311
Владикавказ	15	Северная Осетия - Алания Республика	региона	311635
Мурманск	51	Мурманская Область	региона	307664
Сургут	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	306703
Вологда	35	Вологодская Область	региона	301642
Саранск	13	Мордовия Республика	региона	297425
Тамбов	68	Тамбовская Область	региона	280457
Стерлитамак	2	Башкортостан Республика	района	273432
Грозный	20	Чеченская Республика	региона	271596
Якутск	14	Саха /Якутия/ Республика	региона	269486
Кострома	44	Костромская Область	региона	268617
Комсомольск-на-Амуре	27	Хабаровский Край	-	263906
Петрозаводск	10	Карелия Республика	региона	263540
Таганрог	61	Ростовская Область	-	257692
Нижневартовск	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	251860
Йошкар-Ола	12	Марий Эл Республика	региона	248688
Братск	38	Иркутская Область	-	246348
Новороссийск	23	Краснодарский Край	-	241788
Дзержинск	52	Нижегородская Область	-	240762
Шахты	61	Ростовская Область	-	240152
Нальчик	7	Кабардино-Балкарская Республика	региона	240095
Орск	56	Оренбургская Область	-	239752
Сыктывкар	11	Коми Республика	региона	235006
Нижнекамск	16	Татарстан Республика	района	234108
Ангарск	38	Иркутская Область	-	233765
Старый Оскол	31	Белгородская Область	района	221163
Великий Новгород	53	Новгородская Область	региона	218724
Балашиха	50	Московская Область	-	215353
Благовещенск	2	Башкортостан Республика	района	214397
Благовещенск	28	Амурская Область	региона	214397
Прокопьевск	42	Кемеровская Область	-	210150
Бийск	22	Алтайский Край	-	210055
Химки	50	Московская Область	-	207125
Псков	60	Псковская Область	региона	203281
Энгельс	64	Саратовская Область	-	202401
Рыбинск	76	Ярославская Область	района	200771
Балаково	64	Саратовская Область	-	199576
Северодвинск	29	Архангельская Область	-	192265
Армавир	23	Краснодарский Край	-	188897
Подольск	50	Московская Область	-	187956
Королёв	50	Московская Область	-	183452
Южно-Сахалинск	65	Сахалинская Область	региона	181727
Петропавловск-Камчатский	41	Камчатский Край	региона	179526
Сызрань	63	Самарская Область	-	178773
Норильск	24	Красноярский Край	-	175301
Златоуст	74	Челябинская Область	-	174985
Каменск-Уральский	66	Свердловская Область	-	174710
Мытищи	50	Московская Область	района	173341
Люберцы	50	Московская Область	района	171978
Волгодонск	61	Ростовская Область	-	170621
Новочеркасск	61	Ростовская Область	-	169039
Абакан	19	Хакасия Республика	региона	165183
Находка	25	Приморский Край	-	159695
Уссурийск	25	Приморский Край	-	157946
Керчь	91	Крым Республика	-	157007
Березники	59	Пермский Край	-	156512
Салават	2	Башкортостан Республика	-	156085
Электросталь	50	Московская Область	-	155324
Миасс	74	Челябинская Область	-	151812
Рубцовск	22	Алтайский Край	-	147008
Альметьевск	16	Татарстан Республика	района	146309
Ковров	33	Владимирская Область	-	145492
Коломна	50	Московская Область	-	144642
Майкоп	1	Адыгея Республика	региона	144246
Пятигорск	26	Ставропольский Край	-	142397
Одинцово	50	Московская Область	района	139021
Колпино	78	Санкт-Петербург Город	-	138013
Копейск	74	Челябинская Область	-	137604
Хасавюрт	5	Дагестан Республика	-	133929
Железнодорожный	50	Московская Область	-	131729
Новомосковск	71	Тульская Область	района	131227
Кисловодск	26	Ставропольский Край	-	128502
Серпухов	50	Московская Область	-	126496
Первоуральск	66	Свердловская Область	-	124555
Новочебоксарск	21	Чувашская Республика - Чувашия	-	124113
Нефтеюганск	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	123276
Димитровград	73	Ульяновская Область	-	122549
Нефтекамск	2	Башкортостан Республика	-	121757
Черкесск	9	Карачаево-Черкесская Республика	региона	121439
Орехово-Зуево	50	Московская Область	-	120620
Дербент	5	Дагестан Республика	-	119961
Камышин	34	Волгоградская Область	-	119924
Невинномысск	26	Ставропольский Край	-	118351
Красногорск	50	Московская Область	района	116738
Муром	33	Владимирская Область	-	116078
Батайск	61	Ростовская Область	-	111856
Новошахтинск	61	Ростовская Область	-	111087
Сергиев Посад	50	Московская Область	района	110878
Ноябрьск	89	Ямало-Ненецкий Автономный округ	-	110572
Кызыл	17	Тыва Республика	региона	109906
Октябрьский	2	Башкортостан Республика	-	109379
Ачинск	24	Красноярский Край	-	109156
Северск	70	Томская Область	-	108466
Новокуйбышевск	63	Самарская Область	-	108449
Елец	48	Липецкая Область	-	108404
Арзамас	52	Нижегородская Область	-	106367
Евпатория	91	Крым Республика	-	105915
Обнинск	40	Калужская Область	-	104798
Новый Уренгой	89	Ямало-Ненецкий Автономный округ	-	104144
Каспийск	5	Дагестан Республика	-	103914
Элиста	8	Калмыкия Республика	региона	103728
Пушкино	50	Московская Область	района	102840
Жуковский	50	Московская Область	-	102729
Артём	25	Приморский Край	-	102636
Междуреченск	42	Кемеровская Область	-	101995
Ленинск-Кузнецкий	42	Кемеровская Область	-	101666
Сарапул	18	Удмуртская Республика	-	101390
Ессентуки	26	Ставропольский Край	-	100969
Воткинск	18	Удмуртская Республика	-	100034
Ногинск	50	Московская Область	района	99762
Тобольск	72	Тюменская Область	-	99698
Ухта	11	Коми Республика	-	99642
Серов	66	Свердловская Область	-	99381
Великие Луки	60	Псковская Область	-	98778
Мичуринск	68	Тамбовская Область	-	98758
Новотроицк	56	Оренбургская Область	-	98184
Зеленодольск	16	Татарстан Республика	района	97651
Бердск	54	Новосибирская Область	-	97288
Соликамск	59	Пермский Край	-	97239
Раменское	50	Московская Область	района	96355
Домодедово	50	Московская Область	-	96123
Магадан	49	Магаданская Область	региона	95925
Глазов	18	Удмуртская Республика	-	95835
Каменск-Шахтинский	61	Ростовская Область	-	95306
Железногорск	24	Красноярский Край	-	95057
Железногорск	46	Курская Область	района	95057
Канск	24	Красноярский Край	-	94230
Назрань	6	Ингушетия Республика	-	93357
Пушкин	78	Санкт-Петербург Город	-	92721
Гатчина	47	Ленинградская Область	района	92566
Саров	52	Нижегородская Область	-	92073
Воскресенск	50	Московская Область	района	91301
Долгопрудный	50	Московская Область	-	90976
Бугульма	16	Татарстан Республика	района	89144
Кузнецк	58	Пензенская Область	района	88883
Губкин	31	Белгородская Область	района	88562
Кинешма	37	Ивановская Область	района	88113
Ейск	23	Краснодарский Край	района	87771
Реутов	50	Московская Область	-	87195
Усть-Илимск	38	Иркутская Область	-	86591
Новоуральск	66	Свердловская Область	-	85519
Усолье-Сибирское	38	Иркутская Область	-	83364
Чайковский	59	Пермский Край	-	82933
Азов	61	Ростовская Область	-	82882
Бузулук	56	Оренбургская Область	-	82655
Балашов	64	Саратовская Область	-	82222
Ялта	91	Крым Республика	-	81654
Юрга	42	Кемеровская Область	-	81536
Кирово-Чепецк	43	Кировская Область	района	80920
Кропоткин	23	Краснодарский Край	-	80743
Клин	50	Московская Область	района	80584
Выборг	47	Ленинградская Область	района	80013
Ханты-Мансийск	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	региона	79410
Троицк	74	Челябинская Область	-	78637
Троицк	77	Москва Город	-	78637
Бор	52	Нижегородская Область	-	78079
Шадринск	45	Курганская Область	-	77744
Белово	42	Кемеровская Область	-	76752
Минеральные Воды	26	Ставропольский Край	района	76715
Анжеро-Судженск	42	Кемеровская Область	-	76669
Биробиджан	79	Еврейская Автономная область	региона	75419
Феодосия	91	Крым Республика	-	74669
Лобня	50	Московская Область	-	74350
Петергоф	78	Санкт-Петербург Город	-	73154
Чапаевск	63	Самарская Область	-	72689
Георгиевск	26	Ставропольский Край	-	72126
Черногорск	19	Хакасия Республика	-	72117
Минусинск	24	Красноярский Край	-	71171
Михайловск	26	Ставропольский Край	района	71018
Михайловск	66	Свердловская Область	-	71018
Елабуга	16	Татарстан Республика	района	70750
Дубна	50	Московская Область	-	70569
Воркута	11	Коми Республика	-	70551
Новоалтайск	22	Алтайский Край	-	70438
Егорьевск	50	Московская Область	района	70133
Асбест	66	Свердловская Область	-	68914
Белорецк	2	Башкортостан Республика	района	68804
Белогорск	28	Амурская Область	-	68220
Белогорск	91	Крым Республика	-	68220
Гуково	61	Ростовская Область	-	67268
Ступино	50	Московская Область	района	66942
Туймазы	2	Башкортостан Республика	района	66849
Кстово	52	Нижегородская Область	района	66641
Вольск	64	Саратовская Область	-	66520
Ишимбай	2	Башкортостан Республика	района	66242
Кунгур	59	Пермский Край	-	66110
Зеленогорск	24	Красноярский Край	-	66018
Зеленогорск	78	Санкт-Петербург Город	-	66018
Лысьва	59	Пермский Край	-	65931
Сосновый Бор	47	Ленинградская Область	-	65901
Буйнакск	5	Дагестан Республика	-	65735
Борисоглебск	36	Воронежская Область	района	65585
Ишим	72	Тюменская Область	района	65229
Наро-Фоминск	50	Московская Область	района	64640
Донской	71	Тульская Область	-	64561
Полевской	66	Свердловская Область	-	64191
Лениногорск	16	Татарстан Республика	района	64145
Павловский Посад	50	Московская Область	района	63771
Славянск-на-Кубани	23	Краснодарский Край	района	63768
Заречный	58	Пензенская Область	-	63579
Заречный	66	Свердловская Область	-	63579
Туапсе	23	Краснодарский Край	района	63233
Россошь	36	Воронежская Область	района	62865
Кумертау	2	Башкортостан Республика	-	62854
Лабинск	23	Краснодарский Край	района	62822
Сибай	2	Башкортостан Республика	-	62732
Клинцы	32	Брянская Область	-	62510
Ржев	69	Тверская Область	-	62026
Ревда	66	Свердловская Область	-	61890
Тихорецк	23	Краснодарский Край	района	61825
Нерюнгри	14	Саха /Якутия/ Республика	-	61746
Алексин	71	Тульская Область	района	61738
Александров	33	Владимирская Область	района	61544
Дмитров	50	Московская Область	района	61454
Мелеуз	2	Башкортостан Республика	района	61408
Сальск	61	Ростовская Область	района	61312
Лесосибирск	24	Красноярский Край	-	61146
Гусь-Хрустальный	33	Владимирская Область	-	60773
Чистополь	16	Татарстан Республика	района	60703
Павлово	52	Нижегородская Область	района	60699
Чехов	50	Московская Область	района	60677
Котлас	29	Архангельская Область	района	60562
Белебей	2	Башкортостан Республика	района	60183
Искитим	54	Новосибирская Область	-	60072
Верхняя Пышма	66	Свердловская Область	-	59745
Краснотурьинск	66	Свердловская Область	-	59701
Апатиты	51	Мурманская Область	-	59690
Всеволожск	47	Ленинградская Область	района	59689
Прохладный	7	Кабардино-Балкарская Республика	-	59595
Михайловка	34	Волгоградская Область	-	59153
Анапа	23	Краснодарский Край	района	58983
Тихвин	47	Ленинградская Область	района	58843
Ивантеевка	50	Московская Область	-	58594
Свободный	28	Амурская Область	-	58594
Шуя	37	Ивановская Область	района	58528
Когалым	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	58192
Крымск	23	Краснодарский Край	района	57370
Вязьма	67	Смоленская Область	района	57103
Горно-Алтайск	4	Алтай Республика	региона	56928
Видное	50	Московская Область	района	56798
Арсеньев	25	Приморский Край	-	56742
Избербаш	5	Дагестан Республика	-	56301
Выкса	52	Нижегородская Область	района	56196
Климовск	50	Московская Область	-	56113
Лиски	36	Воронежская Область	района	55864
Волжск	12	Марий Эл Республика	-	55671
Краснокаменск	75	Забайкальский Край	района	55668
Фрязино	50	Московская Область	-	55449
Узловая	71	Тульская Область	района	55282
Лыткарино	50	Московская Область	-	55147
Нягань	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	54903
Рославль	67	Смоленская Область	района	54898
Геленджик	23	Краснодарский Край	-	54813
Белореченск	23	Краснодарский Край	района	53891
Боровичи	53	Новгородская Область	района	53699
Солнечногорск	50	Московская Область	района	52996
Назарово	24	Красноярский Край	-	52829
Кириши	47	Ленинградская Область	района	52826
Черемхово	38	Иркутская Область	-	52650
Краснокамск	59	Пермский Край	района	51929
Балахна	52	Нижегородская Область	района	51526
Ливны	57	Орловская Область	-	50430
Лесной	66	Свердловская Область	-	50364
Донецк	61	Ростовская Область	-	50085
Североморск	51	Мурманская Область	-	50076
Саяногорск	19	Хакасия Республика	-	49889
Бугуруслан	56	Оренбургская Область	-	49737
Кимры	69	Тверская Область	-	49623
Мегион	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	49471
Кизляр	5	Дагестан Республика	-	49169
Урус-Мартан	20	Чеченская Республика	района	49071
Снежинск	74	Челябинская Область	-	48896
Кингисепп	47	Ленинградская Область	района	48667
Заринск	22	Алтайский Край	-	48456
Отрадный	63	Самарская Область	-	48359
Курганинск	23	Краснодарский Край	района	47974
Шелехов	38	Иркутская Область	-	47960
Можга	18	Удмуртская Республика	-	47959
Сертолово	47	Ленинградская Область	-	47854
Ярцево	67	Смоленская Область	района	47853
Шали	20	Чеченская Республика	района	47715
Торжок	69	Тверская Область	-	47702
Рузаевка	13	Мордовия Республика	района	47529
Волхов	47	Ленинградская Область	района	47344
Дзержинский	50	Московская Область	-	47125
Грязи	48	Липецкая Область	района	46798
Чусовой	59	Пермский Край	-	46740
Надым	89	Ямало-Ненецкий Автономный округ	-	46550
Верхняя Салда	66	Свердловская Область	-	46240
Сафоново	67	Смоленская Область	района	46116
Осинники	42	Кемеровская Область	-	45997
Кольчугино	33	Владимирская Область	района	45804
Гудермес	20	Чеченская Республика	района	45643
Канаш	21	Чувашская Республика - Чувашия	-	45608
Рассказово	68	Тамбовская Область	-	45484
Сатка	74	Челябинская Область	района	45465
Мончегорск	51	Мурманская Область	-	45381
Куйбышев	54	Новосибирская Область	-	45298
Усть-Кут	38	Иркутская Область	-	45061
Тулун	38	Иркутская Область	-	44603
Красное Село	78	Санкт-Петербург Город	-	44485
Шебекино	31	Белгородская Область	района	44277
Спасск-Дальний	25	Приморский Край	-	44166
Камень-на-Оби	22	Алтайский Край	-	43880
Белая Калитва	61	Ростовская Область	района	43688
Печора	11	Коми Республика	-	43458
Чебаркуль	74	Челябинская Область	-	43405
Радужный	33	Владимирская Область	-	43394
Радужный	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	43394
Джанкой	91	Крым Республика	-	43343
Джанкой	91	Крым Республика	-	43343
Усть-Лабинск	23	Краснодарский Край	района	43268
Мценск	57	Орловская Область	-	43216
Мыски	42	Кемеровская Область	-	43029
Ломоносов	78	Санкт-Петербург Город	-	43002
Кронштадт	78	Санкт-Петербург Город	-	42999
Амурск	27	Хабаровский Край	-	42977
Курчатов	46	Курская Область	района	42691
Салехард	89	Ямало-Ненецкий Автономный округ	региона	42494
Ефремов	71	Тульская Область	района	42350
Стрежевой	70	Томская Область	-	42216
Аксай	61	Ростовская Область	района	41984
Переславль-Залесский	76	Ярославская Область	-	41923
Ахтубинск	30	Астраханская Область	района	41898
Кашира	50	Московская Область	района	41880
Заинск	16	Татарстан Республика	района	41798
Советск	39	Калининградская Область	-	41709
Советск	43	Кировская Область	района	41709
Советск	71	Тульская Область	-	41709
Лангепас	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	41675
Бирск	2	Башкортостан Республика	района	41637
Урюпинск	34	Волгоградская Область	-	41594
Моршанск	68	Тамбовская Область	-	41550
Пыть-Ях	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	41453
Качканар	66	Свердловская Область	-	41429
Конаково	69	Тверская Область	района	41303
Ртищево	64	Саратовская Область	-	41295
Вязники	33	Владимирская Область	района	41252
Кореновск	23	Краснодарский Край	района	41179
Усинск	11	Коми Республика	-	41100
Тутаев	76	Ярославская Область	района	41001
Красный Сулин	61	Ростовская Область	района	40866
Саянск	38	Иркутская Область	-	40786
Новодвинск	29	Архангельская Область	-	40612
Новозыбков	32	Брянская Область	-	40552
Людиново	40	Калужская Область	района	40550
Изобильный	26	Ставропольский Край	района	40546
Мариинск	42	Кемеровская Область	района	40522
Черняховск	39	Калининградская Область	района	40464
Заволжье	52	Нижегородская Область	-	40265
Апшеронск	23	Краснодарский Край	района	40229
Красноуфимск	66	Свердловская Область	-	39762
Коряжма	29	Архангельская Область	-	39629
Каменка	58	Пензенская Область	района	39579
Елизово	41	Камчатский Край	района	39548
Фролово	34	Волгоградская Область	-	39489
Урай	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	39435
Большой Камень	25	Приморский Край	-	39259
Тосно	47	Ленинградская Область	района	39127
Алексеевка	31	Белгородская Область	района	39026
Коркино	74	Челябинская Область	района	38950
Кыштым	74	Челябинская Область	-	38950
Лянтор	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	38922
Моздок	15	Северная Осетия - Алания Республика	района	38748
Партизанск	25	Приморский Край	-	38648
Шарыпово	24	Красноярский Край	-	38570
Светлоград	26	Ставропольский Край	района	38520
Сокол	35	Вологодская Область	района	38454
Ирбит	66	Свердловская Область	-	38352
Гай	56	Оренбургская Область	-	38302
Реж	66	Свердловская Область	района	38213
Алатырь	21	Чувашская Республика - Чувашия	-	38202
Алапаевск	66	Свердловская Область	-	38198
Темрюк	23	Краснодарский Край	района	38014
Южноуральск	74	Челябинская Область	-	37890
Учалы	2	Башкортостан Республика	района	37771
Вичуга	37	Ивановская Область	района	37609
Дальнегорск	25	Приморский Край	-	37503
Протвино	50	Московская Область	-	37308
Мирный	14	Саха /Якутия/ Республика	района	37179
Мирный	29	Архангельская Область	-	37179
Нижнеудинск	38	Иркутская Область	-	37056
Лесозаводск	25	Приморский Край	-	36975
Баксан	7	Кабардино-Балкарская Республика	района	36857
Беслан	15	Северная Осетия - Алания Республика	района	36724
Сестрорецк	78	Санкт-Петербург Город	-	36680
Ялуторовск	72	Тюменская Область	района	36494
Миллерово	61	Ростовская Область	района	36493
Луга	47	Ленинградская Область	района	36409
Кизилюрт	5	Дагестан Республика	-	36187
Фурманов	37	Ивановская Область	района	36149
Краснознаменск	39	Калининградская Область	района	36057
Краснознаменск	50	Московская Область	-	36057
Зеленокумск	26	Ставропольский Край	района	35790
Кулебаки	52	Нижегородская Область	района	35762
Кандалакша	51	Мурманская Область	-	35659
Тында	28	Амурская Область	-	35574
Тайшет	38	Иркутская Область	-	35481
Тавда	66	Свердловская Область	-	35415
Сердобск	58	Пензенская Область	района	35387
Валуйки	31	Белгородская Область	района	35322
Гулькевичи	23	Краснодарский Край	района	35225
Вятские Поляны	43	Кировская Область	района	35159
Истра	50	Московская Область	района	35106
Тейково	37	Ивановская Область	района	34993
Абинск	23	Краснодарский Край	района	34926
Азнакаево	16	Татарстан Республика	района	34859
Новокубанск	23	Краснодарский Край	района	34847
Сухой Лог	66	Свердловская Область	-	34547
Углич	76	Ярославская Область	района	34505
Кинель	63	Самарская Область	-	34472
Югорск	86	Ханты-Мансийский Автономный округ - Югра Автономный округ	-	34066
Слободской	43	Кировская Область	района	33983
Острогожск	36	Воронежская Область	района	33842
Добрянка	59	Пермский Край	-	33685
Сланцы	47	Ленинградская Область	района	33587
Корсаков	65	Сахалинская Область	района	33518
Касимов	62	Рязанская Область	района	33494
Муравленко	89	Ямало-Ненецкий Автономный округ	-	33401
Чернушка	59	Пермский Край	района	33275
Юбилейный	50	Московская Область	-	33221
Сосновоборск	24	Красноярский Край	-	33090
Кондопога	10	Карелия Республика	района	32978
Шатура	50	Московская Область	района	32836
Щербинка	77	Москва Город	-	32836
Благодарный	26	Ставропольский Край	района	32736
Балтийск	39	Калининградская Область	района	32670
Нововоронеж	36	Воронежская Область	-	32635
Нурлат	16	Татарстан Республика	района	32600
Зима	38	Иркутская Область	-	32522
Славгород	22	Алтайский Край	-	32390
Котельники	50	Московская Область	-	32347
Приморско-Ахтарск	23	Краснодарский Край	района	32253
Инта	11	Коми Республика	-	32021
Аша	74	Челябинская Область	района	31916
Богородицк	71	Тульская Область	района	31897
Котовск	68	Тамбовская Область	-	31851
Старая Русса	53	Новгородская Область	района	31809
Шумерля	21	Чувашская Республика - Чувашия	-	31724
Гагарин	67	Смоленская Область	района	31721
Нарткала	7	Кабардино-Балкарская Республика	района	31679
Великий Устюг	35	Вологодская Область	района	31664
Маркс	64	Саратовская Область	-	31535
Алушта	91	Крым Республика	-	31440
Можайск	50	Московская Область	района	31388
Борзя	75	Забайкальский Край	района	31376
Дюртюли	2	Башкортостан Республика	района	31272
Петровск	64	Саратовская Область	-	31158
Карабулак	6	Ингушетия Республика	-	31081
Малгобек	6	Ингушетия Республика	-	31076
Удомля	69	Тверская Область	района	31048
Красноперекопск	91	Крым Республика	-	31023
Красноперекопск	91	Крым Республика	-	31023
Холмск	65	Сахалинская Область	района	30936
Городец	52	Нижегородская Область	района	30699
Богданович	66	Свердловская Область	-	30678
Дагестанские Огни	5	Дагестан Республика	-	30671
Усть-Джегута	9	Карачаево-Черкесская Республика	района	30602
Верхний Уфалей	74	Челябинская Область	-	30504
Малоярославец	40	Калужская Область	района	30401
Барабинск	54	Новосибирская Область	-	30394
Скопин	62	Рязанская Область	района	30374
Еманжелинск	74	Челябинская Область	района	30218
Кушва	66	Свердловская Область	-	30166
Горячий Ключ	23	Краснодарский Край	-	30093
Киржач	33	Владимирская Область	района	30044
Луховицы	50	Московская Область	района	29849
Десногорск	67	Смоленская Область	-	29677
Сегежа	10	Карелия Республика	района	29660
Аргун	20	Чеченская Республика	-	29528
Алейск	22	Алтайский Край	-	29512
Дятьково	32	Брянская Область	района	29438
Саки	91	Крым Республика	-	29416
Саки	91	Крым Республика	-	29416
Кохма	37	Ивановская Область	района	29408
Знаменск	30	Астраханская Область	-	29357
Дедовск	50	Московская Область	-	29280
Североуральск	66	Свердловская Область	-	29279
Сорочинск	56	Оренбургская Область	-	29260
Карталы	74	Челябинская Область	района	29136
Карпинск	66	Свердловская Область	-	29118
Кудымкар	59	Пермский Край	-	28984
Кировск	47	Ленинградская Область	района	28659
Кировск	51	Мурманская Область	-	28659
Топки	42	Кемеровская Область	района	28642
Карасук	54	Новосибирская Область	района	28586
Кимовск	71	Тульская Область	района	28493
Костомукша	10	Карелия Республика	-	28433
Соль-Илецк	56	Оренбургская Область	района	28369
Дивногорск	24	Красноярский Край	-	28271
Гусев	39	Калининградская Область	района	28260
Похвистнево	63	Самарская Область	-	28181
Сасово	62	Рязанская Область	-	28117
Сосногорск	11	Коми Республика	-	27809
Советская Гавань	27	Хабаровский Край	-	27712
Нефтекумск	26	Ставропольский Край	района	27700
Морозовск	61	Ростовская Область	района	27644
Полысаево	42	Кемеровская Область	-	27624
Дальнереченск	25	Приморский Край	-	27601
Бахчисарай	91	Крым Республика	-	27549
Губаха	59	Пермский Край	-	27544
Тара	55	Омская Область	района	27322
Медногорск	56	Оренбургская Область	-	27290
Октябрьск	63	Самарская Область	-	27244
Бутурлиновка	36	Воронежская Область	района	27208
