city,dreams,region,center,pop
Большое Нагаткино,1,-,-,-
Большое Солдатское,2,-,-,-
Большое Сорокино,1,-,-,-
Большой Камень,8,Приморский Край,-,39259
Бор,9,Нижегородская Область,-,78079
Борзя,6,Забайкальский Край,района,31376
Борисовка,1,-,-,-
Борисоглебск,30,Воронежская Область,района,65585
Боровичи,29,Новгородская Область,района,53699
Боровск,8,Калужская Область,района,12283
Бородино,2,Красноярский Край,-,17423
Борское,1,-,-,-
Братск,148,Иркутская Область,-,246348
Бронницы,7,Московская Область,-,21102
Брюховецкая,2,-,-,-
Брянск,833,Брянская Область,региона,415640
Бугульма,29,Татарстан Республика,района,89144
Бугуруслан,13,Оренбургская Область,-,49737
Буденновск,22,Ставропольский Край,района,-
Бузулук,45,Оренбургская Область,-,82655
Буй,7,Костромская Область,района,25763
Буйнакск,4,Дагестан Республика,-,65735
Бураево,1,-,-,-
Бутурлиновка,4,Воронежская Область,района,27208
Быково,1,-,-,-
Быстрый Исток,3,-,-,-
Вавож,3,-,-,-
Вагай,2,-,-,-
Валдай,5,Новгородская Область,района,16099
Валуйки,28,Белгородская Область,района,35322
Ванино,2,-,-,-
Варгаши,3,-,-,-
Варна,1,-,-,-
Варнавино,1,-,-,-
Васильево-Ханжоновка,1,-,-,-
Ватутинки,1,-,-,-
Вейделевка,2,-,-,-
Велиж,1,Смоленская Область,района,7620
Великие Луки,83,Псковская Область,-,98778
Великий Новгород,243,Новгородская Область,региона,218724
Великий Устюг,17,Вологодская Область,района,31664
Вельск,11,Архангельская Область,района,23885
Венёв,1,-,-,-
Верещагино,2,Пермский Край,района,22161
Верея,1,Московская Область,-,5368
Верхний Уфалей,17,Челябинская Область,-,30504
Верхняя Пышма,19,Свердловская Область,-,59745
Верхняя Салда,14,Свердловская Область,-,46240
Верхотурье,10,Свердловская Область,района,8815
Весьегонск,1,Тверская Область,района,7330
Весёлый,1,-,-,-
Ветлуга,1,Нижегородская Область,района,8956
Видное,61,Московская Область,района,56798
Визинга,1,-,-,-
Вилючинск,1,Камчатский Край,-,22905
Вихоревка,9,Иркутская Область,-,22528
Вичуга,9,Ивановская Область,района,37609
Владивосток,660,Приморский Край,региона,592069
Владикавказ,157,Северная Осетия - Алания Республика,региона,311635
Владимир,452,Владимирская Область,региона,348256
Власиха,2,-,-,-
Внуково,2,-,-,-
Вожега,1,-,-,-
Возрождение,1,-,-,-
Волгоград,1438,Волгоградская Область,региона,1021244
Волгодонск,107,Ростовская Область,-,170621
Волжск,12,Марий Эл Республика,-,55671
Волжский,194,Волгоградская Область,-,314436
Волово,3,-,-,-
Вологда,515,Вологодская Область,региона,301642
Волоколамск,18,Московская Область,района,23386
Волосово,9,Ленинградская Область,района,12162
Волхов,22,Ленинградская Область,района,47344
Волчиха,1,-,-,-
Вольгинский,4,-,-,-
Вольск,12,Саратовская Область,-,66520
Воркута,41,Коми Республика,-,70551
Воронеж,2495,Воронежская Область,региона,889989
Ворсма,4,Нижегородская Область,-,11622
Воскресенск,75,Московская Область,района,91301
Воткинск,7,Удмуртская Республика,-,100034
Всеволожск,25,Ленинградская Область,района,59689
Вуктыл,3,Коми Республика,-,12357
Выборг,45,Ленинградская Область,района,80013
Выгоничи,1,-,-,-
Выкса,33,Нижегородская Область,района,56196
Выселки,1,-,-,-
Высокиничи,2,-,-,-
Вытегра,6,Вологодская Область,района,10490
Вышний Волочек,31,Тверская Область,-,-
Вязники,11,Владимирская Область,района,41252
Вязьма,27,Смоленская Область,района,57103
Вятские Поляны,11,Кировская Область,района,35159
Гаврилов-Ям,1,Ярославская Область,района,17792
Гагарин,9,Смоленская Область,района,31721
Гагино,1,-,-,-
Гаджиево,1,Мурманская Область,-,11089
Гай,25,Оренбургская Область,-,38302
Галич,5,Костромская Область,района,17346
Гатиха,1,-,-,-
Гатчина,61,Ленинградская Область,района,92566
Гвардейск,1,Калининградская Область,района,13888
Геленджик,22,Краснодарский Край,-,54813
Георгиевск,48,Ставропольский Край,-,72126
Георгиевское,1,-,-,-
Гжель,1,-,-,-
Гиагинская,1,-,-,-
Глазов,30,Удмуртская Республика,-,95835
Глубокий,2,-,-,-
Глушково,1,-,-,-
Голицыно,6,Московская Область,-,17447
Голышманово,1,-,-,-
Горно-Алтайск,70,Алтай Республика,региона,56928
Горный,1,-,-,-
Горняк,2,Алтайский Край,района,13924
Городец,11,Нижегородская Область,района,30699
Городовиковск,2,Калмыкия Республика,района,9565
Гороховец,3,Владимирская Область,района,14015
Горшечное,2,-,-,-
Горьковский,1,-,-,-
Горячий Ключ,8,Краснодарский Край,-,30093
Грайворон,3,Белгородская Область,района,6234
Грибановский,1,-,-,-
Грозный,30,Чеченская Республика,региона,271596
Грязи,6,Липецкая Область,района,46798
Грязовец,2,Вологодская Область,района,15528
Губаха,5,Пермский Край,-,27544
Губкин,61,Белгородская Область,района,88562
Губкинский,21,Ямало-Ненецкий Автономный округ,-,23340
Гудермес,1,Чеченская Республика,района,45643
Гуково,15,Ростовская Область,-,67268
Гулькевичи,14,Краснодарский Край,района,35225
Гурзуф,1,-,-,-
Гурьевск,5,Кемеровская Область,района,24816
Гусев,4,Калининградская Область,района,28260
Гусиноозерск,13,Бурятия Республика,района,-
Гусь-Хрустальный,27,Владимирская Область,-,60773
Давлеканово,4,Башкортостан Республика,района,24040
Дагомыс,1,-,-,-
Далматово,11,Курганская Область,района,13913
Дальнегорск,9,Приморский Край,-,37503
Дальнереченск,4,Приморский Край,-,27601
Данилов,1,Ярославская Область,района,15861
Данков,4,Липецкая Область,района,21056
Двуреченск,1,-,-,-
Дебёсы,1,-,-,-
Дегтярск,1,Свердловская Область,-,15521
Деденево,1,-,-,-
Дедовичи,1,-,-,-
Дедовск,13,Московская Область,-,29280
Демидов,1,Смоленская Область,района,7333
Дербент,7,Дагестан Республика,-,119961
Десногорск,8,Смоленская Область,-,29677
Джанкой,53,Крым Республика,-,43343
Дзержинск,64,Нижегородская Область,-,240762
Дзержинский,24,Московская Область,-,47125
Дивеево,1,-,-,-
Дивногорск,1,Красноярский Край,-,28271
Димитровград,71,Ульяновская Область,-,122549
Динская,2,-,-,-
Дмитров,120,Московская Область,района,61454
Дмитровск,1,Орловская Область,района,5651
Дно,1,Псковская Область,района,9061
Добринка,1,-,-,-
Долгодеревенское,1,-,-,-
Долгопрудный,42,Московская Область,-,90976
Домбаровский,1,-,-,-
Домодедово,111,Московская Область,-,96123
Донецк,9,Ростовская Область,-,50085
Донское,1,-,-,-
Донской,14,Тульская Область,-,64561
Дорогобуж,4,Смоленская Область,района,10720
Дорохово,1,-,-,-
Дрезна,3,Московская Область,-,11815
Дубна,46,Московская Область,-,70569
Дубовка,1,Волгоградская Область,района,14345
Дудинка,4,Красноярский Край,района,22207
Дюртюли,1,Башкортостан Республика,района,31272
Дятьково,3,Брянская Область,района,29438
Евпатория,51,Крым Республика,-,105915
Егорлыкская,3,-,-,-
Егорьевск,30,Московская Область,района,70133
Ейск,70,Краснодарский Край,района,87771
Екатеринбург,2347,Свердловская Область,региона,1350136
Екатеринославка,2,-,-,-
Елабуга,5,Татарстан Республика,района,70750
Елец,79,Липецкая Область,-,108404
Елизово,1,Камчатский Край,района,39548
Елховка,1,-,-,-
Ельня,2,Смоленская Область,района,10095
Еманжелинск,6,Челябинская Область,района,30218
Емва,2,Коми Республика,района,14574
Емельяново,2,-,-,-
Енисейск,10,Красноярский Край,-,18769
Енотаевка,1,-,-,-
Ермаковское,1,-,-,-
Ермолаево,1,-,-,-
Ермолино,2,Калужская Область,-,10409
Ерофей Павлович,1,-,-,-
Ершов,2,Саратовская Область,района,21447
Ессентуки,38,Ставропольский Край,-,100969
Ессентукская,1,-,-,-
Еткуль,1,-,-,-
Ефремов,45,Тульская Область,района,42350
Жаворонки,1,-,-,-
Железноводск,12,Ставропольский Край,-,24496
Железногорск,173,Курская Область,района,95057
Железногорск-Илимский,13,Иркутская Область,района,26134
Железнодорожный,19,Московская Область,-,131729
Жердевка,3,Тамбовская Область,района,15211
Жигулевск,42,Самарская Область,-,-
Жиздра,1,Калужская Область,района,5585
Жирновск,6,Волгоградская Область,района,16890
Жуков,2,Калужская Область,района,12150
Жуковка,9,Брянская Область,района,18269
Жуковский,75,Московская Область,-,102729
Забайкальск,1,-,-,-
Завитинск,1,Амурская Область,района,11481
Заводоуковск,10,Тюменская Область,района,25657
Заволжск,2,Ивановская Область,района,12045
Заволжье,9,Нижегородская Область,-,40265
Завьялово,2,-,-,-
Загорянский,1,-,-,-
Задонск,4,Липецкая Область,района,9695
Заинск,3,Татарстан Республика,района,41798
Закаменск,1,Бурятия Республика,района,11530
Залесово,1,-,-,-
Заполярный,3,Мурманская Область,-,15835
Зарайск,15,Московская Область,района,24648
Зареченск,1,-,-,-
Заречный,7,Свердловская Область,-,63579
Заречье,13,-,-,-
Заринск,13,Алтайский Край,-,48456
Звенигород,22,Московская Область,-,16395
Зверево,2,Ростовская Область,-,22416
Звериноголовское,1,-,-,-
Здвинск,1,-,-,-
Зеленогорск,29,Санкт-Петербург Город,-,66018
Зеленоград,100,Москва Город,-,-
Зеленодольск,7,Татарстан Республика,района,97651
Зеленокумск,14,Ставропольский Край,района,35790
Зеленчукская,1,-,-,-
Зерноград,1,Ростовская Область,района,26850
Зея,4,Амурская Область,-,25042
Зилаир,1,-,-,-
Зима,3,Иркутская Область,-,32522
Зимовники,1,-,-,-
Златоуст,95,Челябинская Область,-,174985
Змеиногорск,1,Алтайский Край,района,10955
Знаменск,6,Астраханская Область,-,29357
Золотухино,1,-,-,-
Зональное,1,-,-,-
Зубова Поляна,1,-,-,-
Зуевка,1,Кировская Область,района,11198
Ивангород,5,Ленинградская Область,-,9797
Иваново,530,Ивановская Область,региона,409277
Ивантеевка,43,Московская Область,-,58594
Ивдель,1,Свердловская Область,-,17764
Ивня,1,-,-,-
Игарка,5,Красноярский Край,-,6183
Иглино,2,-,-,-
Игра,3,-,-,-
Игрим,2,-,-,-
Идринское,3,-,-,-
Ижевск,460,Удмуртская Республика,региона,628116
Ижма,1,-,-,-
Избербаш,3,Дагестан Республика,-,56301
Измалково,1,-,-,-
Износки,1,-,-,-
Изобильный,9,Ставропольский Край,района,40546
Иланский,4,Красноярский Край,района,16108
Иловля,1,-,-,-
Ильино,3,-,-,-
Ильинско-Подомское,1,-,-,-
Инжавино,1,-,-,-
Инза,3,Ульяновская Область,района,18547
Иноземцево,1,-,-,-
Инсар,1,Мордовия Республика,района,8687
Инта,9,Коми Республика,-,32021
Ипатово,8,Ставропольский Край,района,26055
Ирбит,9,Свердловская Область,-,38352
Иркутск,1275,Иркутская Область,региона,587225
Исетское,4,-,-,-
Исилькуль,1,Омская Область,района,24481
Искитим,36,Новосибирская Область,-,60072
Истра,56,Московская Область,района,35106
Исянгулово,1,-,-,-
Ишим,26,Тюменская Область,района,65229
Ишимбай,16,Башкортостан Республика,района,66242
Иштан,2,-,-,-
Йошкар-Ола,165,Марий Эл Республика,региона,248688
Кавказская,1,-,-,-
Кадуй,2,-,-,-
Казанская,1,-,-,-
Казань,688,Татарстан Республика,региона,1143546
Калач,3,Воронежская Область,района,20046
Калач-на-Дону,3,Волгоградская Область,района,26892
Калачинск,1,Омская Область,района,23539
Калашниково,2,-,-,-
Калевала,1,-,-,-
Калининград,504,Калининградская Область,региона,431491
Калининск,6,Саратовская Область,района,16442
Калининская,4,-,-,-
Калниболотская,2,-,-,-
Калтан,18,Кемеровская Область,-,21893
Калуга,432,Калужская Область,региона,325185
Калязин,3,Тверская Область,района,13870
Камбарка,3,Удмуртская Республика,района,11028
Каменка,6,Пензенская Область,района,39579
Каменномостский,1,-,-,-
Каменоломни,2,-,-,-
Каменск-Уральский,105,Свердловская Область,-,174710
Каменск-Шахтинский,36,Ростовская Область,-,95306
Камень-Рыболов,2,-,-,-
Камень-на-Оби,10,Алтайский Край,-,43880
Камешково,2,Владимирская Область,района,13113
Камышин,95,Волгоградская Область,-,119924
Камышлов,3,Свердловская Область,-,26875
Канаш,16,Чувашская Республика - Чувашия,-,45608
Кандалакша,12,Мурманская Область,-,35659
Каневская,2,-,-,-
Канск,20,Красноярский Край,-,94230
Кантемировка,2,-,-,-
Карабаш,2,Челябинская Область,-,13151
Каракулино,1,-,-,-
Карасук,6,Новосибирская Область,района,28586
Каратузское,1,-,-,-
Карачаевск,2,Карачаево-Черкесская Республика,-,23848
Карачев,2,Брянская Область,района,19715
Каргасок,1,-,-,-
Карпинск,5,Свердловская Область,-,29118
Карпогоры,2,-,-,-
Карсун,1,-,-,-
Карталы,8,Челябинская Область,района,29136
Карымское,1,-,-,-
Касимов,14,Рязанская Область,района,33494
Касли,2,Челябинская Область,района,16998
Каспийск,6,Дагестан Республика,-,103914
Касумкент,1,-,-,-
Катав-Ивановск,3,Челябинская Область,района,17640
Качканар,26,Свердловская Область,-,41429
Качуг,1,-,-,-
Кашары,1,-,-,-
Кашин,3,Тверская Область,района,16174
Кашира,22,Московская Область,района,41880
Кез,2,-,-,-
Кемерово,925,Кемеровская Область,региона,532884
Кемля,2,-,-,-
Кемь,4,Карелия Республика,-,13061
Керчь,90,Крым Республика,-,157007
Кесова Гора,1,-,-,-
Кетово,2,-,-,-
Кизел,3,Пермский Край,-,19590
Кизляр,24,Дагестан Республика,-,49169
Кимовск,6,Тульская Область,района,28493
Кимры,34,Тверская Область,-,49623
Кингисепп,37,Ленинградская Область,района,48667
Кинель,4,Самарская Область,-,34472
Кинешма,57,Ивановская Область,района,88113
Киреевск,2,Тульская Область,района,25585
Киренск,2,Иркутская Область,района,12652
Киржач,9,Владимирская Область,района,30044
Кириши,24,Ленинградская Область,района,52826
Киров,633,Кировская Область,региона,473668
Кировград,1,Свердловская Область,-,21006
Кирово-Чепецк,13,Кировская Область,района,80920
Кировск,17,Мурманская Область,-,28659
Кирс,3,Кировская Область,района,10420
Кирсанов,3,Тамбовская Область,-,17240
Киселевск,42,Кемеровская Область,-,-
Кисловодск,29,Ставропольский Край,-,128502
Киясово,1,-,-,-
Клетня,2,-,-,-
Климово,1,-,-,-
Климовск,8,Московская Область,-,56113
Клин,74,Московская Область,района,80584
Клинцы,43,Брянская Область,-,62510
Ключи,1,-,-,-
Княгинино,1,Нижегородская Область,района,6708
Ковдор,4,Мурманская Область,района,18836
Ковернино,1,-,-,-
Ковров,92,Владимирская Область,-,145492
Ковылкино,1,Мордовия Республика,района,21307
Когалым,24,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,58192
Кодинск,1,Красноярский Край,района,14835
Козельск,1,Калужская Область,района,18203
Козловка,3,Чувашская Республика - Чувашия,района,10355
Козьмодемьянск,6,Марий Эл Республика,-,21262
Кола,1,Мурманская Область,района,10447
Коломна,116,Московская Область,-,144642
Колпашево,5,Томская Область,района,24126
Колпино,36,Санкт-Петербург Город,-,138013
Колпны,1,-,-,-
Колышлей,3,-,-,-
Кольчугино,7,Владимирская Область,района,45804
Комаричи,1,-,-,-
Коммунар,3,Ленинградская Область,-,20265
Коммунарка,8,-,-,-
Комсомольск-на-Амуре,92,Хабаровский Край,-,263906
Конаково,20,Тверская Область,района,41303
Кондопога,5,Карелия Республика,района,32978
Кондрово,2,Калужская Область,района,16672
Коноша,3,-,-,-
Копейск,55,Челябинская Область,-,137604
Кораблино,1,Рязанская Область,района,12657
Кореновск,16,Краснодарский Край,района,41179
Коркино,18,Челябинская Область,района,38950
Королёв,130,Московская Область,-,183452
Короча,1,Белгородская Область,района,5877
Коряжма,10,Архангельская Область,-,39629
Костомукша,9,Карелия Республика,-,28433
Кострома,357,Костромская Область,региона,268617
Котельники,4,Московская Область,-,32347
Котельниково,11,Волгоградская Область,района,20441
Котельнич,7,Кировская Область,района,24979
Котлас,73,Архангельская Область,района,60562
Котово,12,Волгоградская Область,района,24104
Кохма,5,Ивановская Область,района,29408
Коченёво,1,-,-,-
Кочубеевское,2,-,-,-
Крапивинский,1,-,-,-
Красково,1,-,-,-
Красная Гора,1,-,-,-
Красная Горбатка,1,-,-,-
Красная Яруга,1,-,-,-
Красноармейск,20,Саратовская Область,-,26294
Красновишерск,6,Пермский Край,района,16098
Красногвардейское,4,-,-,-
Красногорск,118,Московская Область,района,116738
Красногорское,5,-,-,-
Краснодар,2257,Краснодарский Край,региона,744933
Красное Село,1,Санкт-Петербург Город,-,44485
Красное-на-Волге,2,-,-,-
Краснозаводск,1,Московская Область,-,13432
Краснознаменск,16,Московская Область,-,36057
Краснокаменск,13,Забайкальский Край,района,55668
Краснокамск,4,Пермский Край,района,51929
Краснообск,1,-,-,-
Красноперекопск,18,Крым Республика,-,31023
Краснослободск,3,Волгоградская Область,-,16007
Краснотуранск,2,-,-,-
Краснотурьинск,19,Свердловская Область,-,59701
Красноуральск,8,Свердловская Область,-,24973
Красноуфимск,19,Свердловская Область,-,39762
Красноярск,1745,Красноярский Край,региона,973891
Красные Баки,2,-,-,-
Красные Четаи,1,-,-,-
Красный Кут,5,Саратовская Область,района,14420
Красный Сулин,2,Ростовская Область,района,40866
Крестцы,4,-,-,-
Кривошеино,1,-,-,-
Кронштадт,4,Санкт-Петербург Город,-,42999
Кропоткин,28,Краснодарский Край,-,80743
Крымск,26,Краснодарский Край,района,57370
Кстово,43,Нижегородская Область,района,66641
Куанда,1,-,-,-
Кубинка,20,Московская Область,-,22918
Кувандык,7,Оренбургская Область,-,26176
Кувшиново,2,Тверская Область,района,10008
Кугеси,2,-,-,-
Кудымкар,5,Пермский Край,-,28984
Куеда,1,-,-,-
Кузнецк,19,Пензенская Область,района,88883
Кузнецово,1,-,-,-
Кузнечное,2,-,-,-
Куйбышев,4,Новосибирская Область,-,45298
Куйтун,2,-,-,-
Кукмор,1,-,-,-
Кулебаки,9,Нижегородская Область,района,35762
Кулунда,1,-,-,-
Кумены,1,-,-,-
Кумертау,16,Башкортостан Республика,-,62854
Кунашак,2,-,-,-
Кунгур,17,Пермский Край,-,66110
Кунгуртуг,1,-,-,-
Купино,1,Новосибирская Область,района,14893
Курагино,6,-,-,-
Курган,524,Курганская Область,региона,333640
Курганинск,10,Краснодарский Край,района,47974
Курманаевка,1,-,-,-
Куровское,6,Московская Область,-,21821
Курсавка,2,-,-,-
Курск,880,Курская Область,региона,414595
Куртамыш,3,Курганская Область,района,17098
Курчатов,21,Курская Область,района,42691
Куса,3,Челябинская Область,района,18792
Кушва,35,Свердловская Область,-,30166
Кущевская,8,-,-,-
Кшенский,1,-,-,-
Кызыл,48,Тыва Республика,региона,109906
Кыштым,11,Челябинская Область,-,38950
Лабинск,13,Краснодарский Край,района,62822
Лабытнанги,12,Ямало-Ненецкий Автономный округ,-,26948
Лазаревское,7,-,-,-
Лакинск,2,Владимирская Область,-,15707
Лангепас,9,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,41675
Лахденпохья,2,Карелия Республика,района,7818
Лебедянь,2,Липецкая Область,района,20991
Лебяжье,1,-,-,-
Лев Толстой,1,-,-,-
Ленинградская,2,-,-,-
Ленино,3,-,-,-
Лениногорск,7,Татарстан Республика,района,64145
Ленинск-Кузнецкий,44,Кемеровская Область,-,101666
Ленинский район,1,-,-,-
Ленск,8,Саха /Якутия/ Республика,района,24955
Лермонтов,1,Ставропольский Край,-,22540
Лесной,21,Свердловская Область,-,50364
Лесозаводск,7,Приморский Край,-,36975
Лесосибирск,13,Красноярский Край,-,61146
Ливны,28,Орловская Область,-,50430
Липецк,1003,Липецкая Область,региона,508124
Липин Бор,1,-,-,-
Лиски,26,Воронежская Область,района,55864
Лихославль,5,Тверская Область,района,12259
Лобня,45,Московская Область,-,74350
Ловозеро,1,-,-,-
Лодейное Поле,4,Ленинградская Область,района,21053
Локоть,1,-,-,-
Ломоносов,2,Санкт-Петербург Город,-,43002
Лосино-Петровский,8,Московская Область,-,22550
Лотошино,2,-,-,-
Луга,15,Ленинградская Область,района,36409
Луза,2,Кировская Область,района,11262
Лукоянов,1,Нижегородская Область,района,14949
Луховицы,23,Московская Область,района,29849
Лучегорск,4,-,-,-
Лысково,6,Нижегородская Область,района,21882
Лысьва,31,Пермский Край,-,65931
Лыткарино,22,Московская Область,-,55147
Льгов,6,Курская Область,района,21452
Люберцы,230,Московская Область,района,171978
Любим,1,Ярославская Область,района,5553
Людиново,10,Калужская Область,района,40550
Лямбирь,2,-,-,-
Лянтор,6,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,38922
Магадан,42,Магаданская Область,региона,95925
Магас,3,Ингушетия Республика,региона,2505
Магдагачи,1,-,-,-
Магистральный,1,-,-,-
Магнитогорск,294,Челябинская Область,-,408401
Майкоп,118,Адыгея Республика,региона,144246
Майма,1,-,-,-
Майский,5,Кабардино-Балкарская Республика,района,26755
Макарьев,1,Костромская Область,района,7114
Максатиха,4,-,-,-
Макушино,1,Курганская Область,района,8337
Малая Вишера,4,Новгородская Область,района,12461
Малоярославец,26,Калужская Область,района,30401
Мамадыш,1,Татарстан Республика,района,14432
Мантурово,3,Костромская Область,района,17479
Мариинск,8,Кемеровская Область,района,40522
Мариинский Посад,1,Чувашская Республика - Чувашия,района,9089
Маркс,13,Саратовская Область,-,31535
Марьяновка,1,-,-,-
Матвеев-Курган,2,-,-,-
Махачкала,109,Дагестан Республика,региона,577990
Мегион,12,Ханты-Мансийский Автономный округ - Югра Автономный округ,-,49471
Медведево,1,-,-,-
Медвежьегорск,10,Карелия Республика,района,15536
Медвенка,2,-,-,-
Медногорск,5,Оренбургская Область,-,27290
Межгорье,1,Башкортостан Республика,-,17353
Междуреченск,70,Кемеровская Область,-,101995
Междуреченский,7,-,-,-
Мезень,1,Архангельская Область,района,3599
Меленки,7,Владимирская Область,района,15208
Мелеуз,28,Башкортостан Республика,района,61408
Менделеевск,4,Татарстан Республика,района,22075
Мензелинск,3,Татарстан Республика,района,16474
Миасс,96,Челябинская Область,-,151812
Миасское,2,-,-,-
Микунь,7,Коми Республика,-,10732
Миллерово,14,Ростовская Область,района,36493
Минеральные Воды,51,Ставропольский Край,района,76715
Минусинск,108,Красноярский Край,-,71171
Мирное,1,-,-,-
Мирный,15,Архангельская Область,-,37179
Михайловка,47,Волгоградская Область,-,59153
Михайловск,4,Свердловская Область,-,71018
Михалково,2,-,-,-
Мичуринск,57,Тамбовская Область,-,98758
Можайск,26,Московская Область,района,31388
Можга,9,Удмуртская Республика,-,47959
Моздок,5,Северная Осетия - Алания Республика,района,38748
Мокроус,5,-,-,-
Мокшан,1,-,-,-
Молодёжный,1,-,-,-
Молчаново,2,-,-,-
Монино,15,-,-,-
